"genus","address","health","height","landmark","location"
"Maple","2000 Commonwealth Blvd","1 - Good","2 - Medium","No","Street"
"Maple","940 Raymond St","1 - Good","1 - Short","No","Street"
"Honey","Buhr Park","1 - Good","2 - Medium","No","Park"
"Maple","3020 Birch Hollow Dr","2 - Neutral","2 - Medium","No","Trail"
"Oak","Southeast Area Park","2 - Neutral","1 - Short","No","Park"
"Maple","Leslie Park","3 - Bad","2 - Medium","No","Park"
"Oak","2624 Packard Rd","1 - Good","2 - Medium","Yes","Street"
"Maple","708 N Fifth Ave","2 - Neutral","1 - Short","No","Street"
"Oak","120 W Huron St","1 - Good","1 - Short","No","Street"
"Maple","Churchill Downs Park","3 - Bad","2 - Medium","No","Park"
"Oak","Hollywood Park","2 - Neutral","3 - Tall","Yes","Park"
"Spruce","Clinton Park","3 - Bad","2 - Medium","No","Park"
"Oak","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Pine","Fuller Park","2 - Neutral","1 - Short","No","Park"
"Maple","2808 Brockman Blvd","2 - Neutral","1 - Short","No","Street"
"Spruce","581 Huntington Dr","1 - Good","2 - Medium","No","Street"
"Honey","1700 W Stadium Blvd","2 - Neutral","2 - Medium","No","Street"
"Oak","2011 Long Shore Dr","1 - Good","3 - Tall","Yes","Trail"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","920 Miner St","2 - Neutral","1 - Short","No","Trail"
"Maple","2228 Placid Way","2 - Neutral","2 - Medium","No","Street"
"Maple","225 High Orchard Dr","2 - Neutral","2 - Medium","No","Street"
"Maple","1650 S State St","2 - Neutral","2 - Medium","No","Street"
"Maple","Bandemer Park","2 - Neutral","1 - Short","No","Park"
"Spruce","606 Robin Rd","2 - Neutral","2 - Medium","No","Trail"
"Oak","1000 E Oakbrook Dr","2 - Neutral","1 - Short","No","Street"
"Spruce","Malletts Creek Nature Ar*","1 - Good","2 - Medium","No","Park"
"Maple","2300 Traverwood Dr","1 - Good","1 - Short","No","Street"
"Maple","1311 Beechwood Dr","2 - Neutral","3 - Tall","Yes","Street"
"Maple","2010 Yeoman Ct","2 - Neutral","2 - Medium","No","Street"
"Pine","2950 Easy St","1 - Good","2 - Medium","Yes","Trail"
"Maple","Clinton Park","1 - Good","1 - Short","No","Park"
"Maple","2980 Devonshire Rd","2 - Neutral","2 - Medium","No","Street"
"Oak","1300 S Maple Rd","2 - Neutral","2 - Medium","No","Street"
"Honey","3050 Washtenaw Ave","1 - Good","2 - Medium","No","Trail"
"Oak","75 Scio Church Rd","2 - Neutral","3 - Tall","Yes","Trail"
"Oak","120 W Huron St","1 - Good","1 - Short","No","Street"
"Oak","Kuebler Langford","2 - Neutral","1 - Short","No","Park"
"Pine","2302 Nixon Rd","2 - Neutral","2 - Medium","No","Street"
"Oak","Gallup Park","2 - Neutral","1 - Short","No","Park"
"Maple","1601 Cambridge Rd","2 - Neutral","2 - Medium","No","Street"
"Spruce","Sugarbush Park","2 - Neutral","1 - Short","No","Park"
"Spruce","1954 Independence Blvd","2 - Neutral","2 - Medium","No","Street"
"Oak","2723 S State St","3 - Bad","2 - Medium","No","Street"
"Oak","Fuller Park","2 - Neutral","1 - Short","No","Park"
"Oak","Veterans Memorial Park","2 - Neutral","3 - Tall","Yes","Park"
